R-239,1315,0,360,0,0,0,0,0,0,0,0,300892,3381
R-239,1316,0,360,0,0,0,0,0,0,0,0,300981,3382
R-239,1316,0,360,0,0,0,0,0,0,0,0,301070,3383
R-239,1316,0,360,0,0,0,0,0,0,0,0,301159,3384
R-239,1316,0,360,0,0,0,0,0,0,0,0,301248,3385
R-239,1316,0,360,0,0,0,0,0,0,0,0,301337,3386
R-239,1316,0,360,0,0,0,0,0,0,0,0,301426,3387
R-239,1316,0,360,0,0,0,0,0,0,0,0,301514,3388
R-238,1316,0,360,0,0,0,0,0,0,0,0,301604,3389
R-236,1317,0,360,0,0,0,0,0,0,0,0,301692,3390
R-234,1318,0,360,0,0,0,0,0,0,0,0,301782,3391
R-232,1319,0,360,0,0,0,0,0,0,0,0,301870,3392
R-231,1319,0,360,0,0,0,0,0,0,0,0,301960,3393
R-230,1319,0,360,0,0,0,0,0,0,0,0,302048,3394
R-230,1319,0,360,0,0,0,0,0,0,0,0,302137,3395
R-229,1319,0,360,0,0,0,0,0,0,0,0,302226,3396
R-228,1318,0,360,0,0,0,0,0,0,0,0,302316,3397
R-228,1317,0,360,0,0,0,0,0,0,0,0,302404,3398
R-229,1316,0,360,0,0,0,0,0,0,0,0,302494,3399
R-230,1314,0,360,0,0,0,0,0,0,0,0,302582,3400
R-231,1312,0,360,0,0,0,0,0,0,0,0,302671,3401
R-231,1311,0,360,0,0,0,0,0,0,0,0,302760,3402
R-232,1310,0,360,0,0,0,0,0,0,0,0,302850,3403
R-232,1309,0,360,0,0,0,0,0,0,0,0,302938,3404
R-233,1308,0,360,0,0,0,0,0,0,0,0,303027,3405
R-234,1307,0,360,0,0,0,0,0,0,0,0,303116,3406
R-235,1307,0,360,0,0,0,0,0,0,0,0,303206,3407
R-236,1307,0,360,0,0,0,0,0,0,0,0,303294,3408
R-237,1307,0,360,0,0,0,0,0,0,0,0,303383,3409
R-237,1307,0,360,0,0,0,0,0,0,0,0,303472,3410
R-237,1307,0,360,0,0,0,0,0,0,0,0,303561,3411
R-237,1307,0,360,0,0,0,0,0,0,0,0,303650,3412
R-237,1307,0,360,0,0,0,0,0,0,0,0,303739,3413
R-237,1306,0,360,0,0,0,0,0,0,0,0,303828,3414
R-236,1305,0,360,0,0,0,0,0,0,0,0,303917,3415
R-235,1304,0,360,0,0,0,0,0,0,0,0,304006,3416
R-235,1303,0,360,0,0,0,0,0,0,0,0,304095,3417
R-235,1302,0,360,0,0,0,0,0,0,0,0,304184,3418
R-235,1301,0,360,0,0,0,0,0,0,0,0,304273,3419
R-235,1300,0,360,0,0,0,0,0,0,0,0,304362,3420
R-235,1300,0,360,0,0,0,0,0,0,0,0,304451,3421
R-235,1301,0,360,0,0,0,0,0,0,0,0,304540,3422
R-235,1302,0,360,0,0,0,0,0,0,0,0,304629,3423
R-235,1303,0,360,0,0,0,0,0,0,0,0,304718,3424
R-234,1304,0,360,0,0,0,0,0,0,0,0,304807,3425
R-234,1305,0,360,0,0,0,0,0,0,0,0,304896,3426
R-233,1306,0,360,0,0,0,0,0,0,0,0,304985,3427
R-232,1307,0,360,0,0,0,0,0,0,0,0,305074,3428
R-231,1308,0,360,0,0,0,0,0,0,0,0,305163,3429
R-231,1308,0,360,0,0,0,0,0,0,0,0,305252,3430
R-230,1308,0,360,0,0,0,0,0,0,0,0,305341,3431
R-230,1308,0,360,0,0,0,0,0,0,0,0,305430,3432
R-229,1307,0,360,0,0,0,0,0,0,0,0,305519,3433
R-228,1306,0,360,0,0,0,0,0,0,0,0,305608,3434
R-228,1305,0,360,0,0,0,0,0,0,0,0,305697,3435
R-227,1305,0,360,0,0,0,0,0,0,0,0,305786,3436
R-227,1305,0,360,0,0,0,0,0,0,0,0,305875,3437
R-228,1305,0,360,0,0,0,0,0,0,0,0,305964,3438
R-230,1305,0,360,0,0,0,0,0,0,0,0,306053,3439
R-232,1305,0,360,0,0,0,0,0,0,0,0,306142,3440
R-233,1305,0,360,0,0,0,0,0,0,0,0,306231,3441
R-233,1305,0,360,0,0,0,0,0,0,0,0,306320,3442
R-233,1305,0,360,0,0,0,0,0,0,0,0,306409,3443
R-232,1305,0,360,0,0,0,0,0,0,0,0,306498,3444
R-231,1305,0,360,0,0,0,0,0,0,0,0,306587,3445
R-231,1304,0,360,0,0,0,0,0,0,0,0,306676,3446
R-231,1303,0,360,0,0,0,0,0,0,0,0,306765,3447
R-232,1303,0,360,0,0,0,0,0,0,0,0,306854,3448
R-233,1303,0,360,0,0,0,0,0,0,0,0,306943,3449
R-235,1303,0,360,0,0,0,0,0,0,0,0,307032,3450
R-237,1304,0,360,0,0,0,0,0,0,0,0,307121,3451
R-239,1305,0,360,0,0,0,0,0,0,0,0,307210,3452
R-241,1306,0,360,0,0,0,0,0,0,0,0,307299,3453
R-242,1307,0,360,0,0,0,0,0,0,0,0,307388,3454
R-242,1307,0,360,0,0,0,0,0,0,0,0,307477,3455
R-242,1308,0,360,0,0,0,0,0,0,0,0,307566,3456
R-241,1310,0,360,0,0,0,0,0,0,0,0,307655,3457
R-239,1312,0,360,0,0,0,0,0,0,0,0,307744,3458
R-237,1314,0,360,0,0,0,0,0,0,0,0,307833,3459
R-236,1316,0,360,0,0,0,0,0,0,0,0,307922,3460
R-235,1317,0,360,0,0,0,0,0,0,0,0,308011,3461
R-234,1319,0,360,0,0,0,0,0,0,0,0,308099,3462
R-234,1320,0,360,0,0,0,0,0,0,0,0,308189,3463
R-234,1321,0,360,0,0,0,0,0,0,0,0,308278,3464
R-234,1321,0,360,0,0,0,0,0,0,0,0,308366,3465
R-234,1321,0,360,0,0,0,0,0,0,0,0,308456,3466
R-234,1321,0,360,0,0,0,0,0,0,0,0,308544,3467
R-234,1321,0,360,0,0,0,0,0,0,0,0,308633,3468
R-234,1321,0,360,0,0,0,0,0,0,0,0,308723,3469
R-234,1321,0,360,0,0,0,0,0,0,0,0,308811,3470
R-234,1320,0,360,0,0,0,0,0,0,0,0,308901,3471
R-233,1319,0,360,0,0,0,0,0,0,0,0,308989,3472
R-232,1319,0,360,0,0,0,0,0,0,0,0,309079,3473
R-230,1319,0,360,0,0,0,0,0,0,0,0,309168,3474
R-228,1319,0,360,0,0,0,0,0,0,0,0,309257,3475
R-227,1319,0,360,0,0,0,0,0,0,0,0,309345,3476
R-226,1320,0,360,0,0,0,0,0,0,0,0,309435,3477
R-225,1320,0,360,0,0,0,0,0,0,0,0,309524,3478
R-224,1320,0,360,0,0,0,0,0,0,0,0,309613,3479
R-223,1320,0,360,0,0,0,0,0,0,0,0,309701,3480
R-223,1320,0,360,0,0,0,0,0,0,0,0,309790,3481
R-223,1320,0,360,0,0,0,0,0,0,0,0,309879,3482
R-223,1320,0,360,0,0,0,0,0,0,0,0,309968,3483
R-223,1320,0,360,0,0,0,0,0,0,0,0,310057,3484
R-223,1320,0,360,0,0,0,0,0,0,0,0,310146,3485
R-223,1320,0,360,0,0,0,0,0,0,0,0,310235,3486
R-223,1320,0,360,0,0,0,0,0,0,0,0,310324,3487
R-222,1321,0,360,0,0,0,0,0,0,0,0,310414,3488
R-222,1322,0,360,0,0,0,0,0,0,0,0,310502,3489
R-222,1323,0,360,0,0,0,0,0,0,0,0,310591,3490
R-222,1323,0,360,0,0,0,0,0,0,0,0,310680,3491
R-222,1323,0,360,0,0,0,0,0,0,0,0,310769,3492
R-223,1322,0,360,0,0,0,0,0,0,0,0,310858,3493
R-226,1321,0,360,0,0,0,0,0,0,0,0,310947,3494
R-229,1320,0,360,0,0,0,0,0,0,0,0,311036,3495
R-232,1319,0,360,0,0,0,0,0,0,0,0,311125,3496
R-235,1318,0,360,0,0,0,0,0,0,0,0,311214,3497
R-238,1318,0,360,0,0,0,0,0,0,0,0,311303,3498
R-241,1318,0,360,0,0,0,0,0,0,0,0,311392,3499
R-245,1318,0,360,0,0,0,0,0,0,0,0,311481,3500
R-249,1318,0,360,0,0,0,0,0,0,0,0,311570,3501
R-251,1318,0,360,0,0,0,0,0,0,0,0,311659,3502
R-252,1318,0,360,0,0,0,0,0,0,0,0,311748,3503
R-252,1317,0,360,0,0,0,0,0,0,0,0,311837,3504
R-252,1316,0,360,0,0,0,0,0,0,0,0,311926,3505
R-252,1315,0,360,0,0,0,0,0,0,0,0,312015,3506
R-252,1314,0,360,0,0,0,0,0,0,0,0,312104,3507
R-252,1314,0,360,0,0,0,0,0,0,0,0,312193,3508
R-252,1314,0,360,0,0,0,0,0,0,0,0,312282,3509
R-252,1314,0,360,0,0,0,0,0,0,0,0,312371,3510
R-252,1313,0,360,0,0,0,0,0,0,0,0,312460,3511
R-252,1313,0,360,0,0,0,0,0,0,0,0,312549,3512
R-252,1312,0,360,0,0,0,0,0,0,0,0,312638,3513
R-252,1311,0,360,0,0,0,0,0,0,0,0,312727,3514
R-253,1310,0,360,0,0,0,0,0,0,0,0,312816,3515
R-254,1308,0,360,0,0,0,0,0,0,0,0,312905,3516
R-255,1306,0,360,0,0,0,0,0,0,0,0,312994,3517
R-256,1304,0,360,0,0,0,0,0,0,0,0,313083,3518
R-257,1303,0,360,0,0,0,0,0,0,0,0,313172,3519
R-258,1302,0,360,0,0,0,0,0,0,0,0,313261,3520
